"Eh bien !","Je m’y rendrai, toujours exempt d’effroi."
"Vous m'en priez.","Je veux t'ouvrir ma conscience, te dire ma pensée en trois ou quatre mots, le péril que je viens de courir sur les flots, me donne dans le coeur un repentir extrême, car par là je vois bien que la bonté suprême, loin de m'exterminer, me veut tendre la main : travaillons, travaillons, sans attendre à demain, profitons de ces mots les derniers de mon père, forçons, forçons le ciel à nous être prospère, et par des actions qui n'aient rien de brutal, faisons un peu de bien après beaucoup de mal."
"Je veux t'ouvrir ma conscience, te dire ma pensée en trois ou quatre mots, le péril que je viens de courir sur les flots, me donne dans le coeur un repentir extrême, car par là je vois bien que la bonté suprême, loin de m'exterminer, me veut tendre la main : travaillons, travaillons, sans attendre à demain, profitons de ces mots les derniers de mon père, forçons, forçons le ciel à nous être prospère, et par des actions qui n'aient rien de brutal, faisons un peu de bien après beaucoup de mal.","Le voilà repentant, tout de bon."
"Le voilà repentant, tout de bon.","Oui, mon âme ne concevra jamais d'illégitime flamme : et je veux désormais que les cieux ennemis me puissent écraser."
"Mon castor l’est aussi ?","Tout est bien, ou je meure."
"Ma mère, sans mentir, presse trop mon devoir.","Mais l'on en pense mal."
"Mais l'on en pense mal.","Où je suis sans offense, il m'importe fort peu de ce que l'on en pense : hé bien !"
"Vraiment, à vous ouïr parler, à si bien de l'amour les signes étaler, en déduire si bien toutes les circonstances, vous en devez avoir de grandes connaissances.","Point, ce que j'en ai dit n'est qu'un discours en l'air."
"Moi ?","Plutôt brûler."
"Plutôt brûler.","Mais de quel feu ?"
"Mais de quel feu ?","Du ciel."
"Du ciel.","Mais de celui d'évandre."
"Mais de celui d'évandre.","C'est donc un feu caché dessous beaucoup de cendre."
"Il est vrai, car il est discret au dernier point.","Parlez plus clairement, je ne vous entends point."
"Quoi !","Votre âme d'amour n'est pas préoccupée ?"
"Votre âme d'amour n'est pas préoccupée ?","Pour évandre !"
"Ah, ma soeur !","M'aurait-on bien dupée ?"
"M'aurait-on bien dupée ?","Et me prendrait-on bien pour un timbre fêlé, à laisser échapper ce qu'on m'a révélé ?"
"Ah vraiment !","Vous verrez jusqu'où va ma colère, et vous l'éprouverez."
"Vous verrez jusqu'où va ma colère, et vous l'éprouverez.","À vous que je croyais la meilleure du monde, à vous pour qui mon âme ouverte, et sans seconde, n'avait rien de secret, ni rien de réservé, à qui j'ai dit d'abord ce qui m'a captivé, vous cachez votre coeur !"
"Parmi le déplaisir qui toujours m’accompagne, je suis inconsolable, un père est contre moi, un que je n’aime point me veut faire la loi, et je me vois réduite à ce malheur extrême de haïr tout le monde, et me haïr moi même.","Votre oeil fripon porte à cette extrémité."
"Hélas !","On m'attache de même à mon antipathie"
"On m'attache de même à mon antipathie","Ah, pouvoir tyrannique !"
"Mon cher damon me donne avis par cette lettre qu’il espère bientôt de fléchir mes parents ; mais je vois peu d’espoir de vaincre nos tyrans.","Resserrons, j'aperçois quelqu'un qui s'achemine."
"De détester le vice, de fuir la violence, abhorrer l’injustice ; et si la beauté même osait en cet instant venir se présenter à mon coeur repentant, tu verrais.","Tu verrais si les objets me tentent."
"Tu verrais si les objets me tentent.","Mes dieux !"
"Les éléments .","Tais-toi, malepeste du sot !"
"Bergères à mes yeux cent fois plus adorables.","Est-ce craindre les dieux, que d'adorer les diables ?"
"Cher damon !","Tu n'obtiendras jamais ce que tu veux de moi."
"Tu n'obtiendras jamais ce que tu veux de moi.","Tu seras donc bien fine ; ah dieux !"
"Mais il faut contenter mes flammes amoureuses.","Je ne sais tantôt plus de quel côté tourner."
"Je ne sais tantôt plus de quel côté tourner.","Mais dois-je encore ici bien longtemps séjourner ?"
"Ou bien je vais pleurer, ou bien ne pleurez pas.","J'aimerais mieux souffrir mille fois le trépas."
"Je crois qu’à présent, elle se désespère, son cher damon devait l’épouser aujourd’hui ; mais sachant son malheur il en mourra d’ennui.","La consolation de tous les misérables, comme dit le proverbe, est d'avoir des semblables."
"Si cela n’est point faux, qu’elle sèche ses pleurs, d’autres ont eu par lui de semblables malheurs.","J'en connais plus de cent : amarille, céphise, violante, marcelle, amaranthe, bélise, lucrèce, qu'il surprit par un détour bien fin; policrite, aurélie et la belle joconde, dont l'oeil sait embraser les coeurs de tout le monde ; pasithée, auralinde, orante aux noirs sourcils, bérénice, aréthuse, aminthe, anacarsis, nérinde, doralis, lucie au teint d'albâtre, qu'après avoir surprise il battit comme plâtre ; que vous dirai-je encore ?"
"J'en connais plus de cent : amarille, céphise, violante, marcelle, amaranthe, bélise, lucrèce, qu'il surprit par un détour bien fin; policrite, aurélie et la belle joconde, dont l'oeil sait embraser les coeurs de tout le monde ; pasithée, auralinde, orante aux noirs sourcils, bérénice, aréthuse, aminthe, anacarsis, nérinde, doralis, lucie au teint d'albâtre, qu'après avoir surprise il battit comme plâtre ; que vous dirai-je encore ?","Mélinte, nitocris, à qui cela coûta bien des pleurs et des cris perrette la boiteuse et margot la camuse, qui se laissa tromper comme une pauvre buse ; catin, qui n'a qu'un oeil, et la pauvre alizon, aussi belle et du moins d'aussi bonne maison ; claude, fanchon, paquette, anne, laure, isabelle, jacqueline, suzon, benoîte, péronnelle ; et si je pouvais bien du tout me souvenir, de quinze jours d'ici je ne pourrais finir."
"Vous devriez y rester, car vous y faites rage.","Tais-toi, ne me viens pas d'aujourd'hui raisonner ; dans ce maudit climat tout me fait frissonner."
"Tais-toi, ne me viens pas d'aujourd'hui raisonner ; dans ce maudit climat tout me fait frissonner.","Ta raillerie enfin me mettrait en colère."
"Ta raillerie enfin me mettrait en colère.","Flatte mes sens plutôt, et me dis que mon père était par trop cruel, qu'amarille eut grand tort, qu'un peu de complaisance eût arrêté la mort de son père qui fut trop ardent à me suivre ; ajoute que philippe a dû cesser de vivre aussitôt que j'ai vu son épée en ma main ; dis que mon mouvement a paru trop humain ; enfin dis-moi, pour tant de beautés enlevées, que l'on m'aurait blâmé de les avoir sauvées ; et si tu veux aider à mes contentements, approuve mes desseins et suis mes mouvements."
"Nous le sommes assez, nous sortons du naufrage, d’où si nous n’eussions su nous sauver à la nage, nous eussions bu, sans doute, à tous nos bons amis : mais, sans doute, monsieur, c’est par vos ennemis que cette prophétie est là-dessous écrite.","Ou véritable ou fausse, enfin je la dépite : fassent, fassent les dieux ce qu'ils ont décrété, j'oppose à leurs décrets un esprit indompté, un coeur grand, intrépide, une âme inébranlable."
"Prenez garde, il a branlé la tête.","Un coeur qui sait mépriser la tempête ne craint pas un esprit qui n'a plus de pouvoir"
"Ah, je tremble !","Faites ce que je dis."
"Mais raisonnons ensemble.","Raisonnement à part ; faisons, car je le veux."
"Regardez hérisser mes cheveux.","Quand tu devrais mourir cent fois, il le faut faire."
"Bien nous boirons ensemble.","Portons encore la voix au fond de son cercueil."
"Esprit.","Il me regarde, il fait signe de l'oeil."
"Mais si quelque démon affamé, d’aventure, de ce fantôme affreux revêtait la figure, et qu’un mort, mort de faim, nous vint tout avaler.","Sans perdre ici le temps à sottement parler, tu ferais beaucoup mieux de pourvoir à tout."
"Peste !","Vous êtes assuré que j'en aurai de reste, si ce que j'appréhende enfin n'arrive point."
"Mais, monsieur, regardons un peu de point en point et ce que vous ferez ou ce qu’il faudra faire.","Moi qui ne me trouvai jamais à tel mystère, quand cet esprit viendra, je voudrais bien savoir comment il faut agir pour le bien recevoir, car je crois qu'il faut bien avoir plus de faconde avec les trépassés qu'avec ceux de ce monde."
"Moi qui ne me trouvai jamais à tel mystère, quand cet esprit viendra, je voudrais bien savoir comment il faut agir pour le bien recevoir, car je crois qu'il faut bien avoir plus de faconde avec les trépassés qu'avec ceux de ce monde.","Philipin, je verrai ce fantôme odieux avec le même front, avec les mêmes yeux, que quand, trop emporté de colère et de rage, il vint à ses dépens éprouver mon courage ; je l'envisagerai de la même façon."
"Philipin, je verrai ce fantôme odieux avec le même front, avec les mêmes yeux, que quand, trop emporté de colère et de rage, il vint à ses dépens éprouver mon courage ; je l'envisagerai de la même façon.","Mais encore une fois, si c'était un démon qui d'abord de son souffle empoisonnât la viande, où diable en trouver d'autre ?"
"Conception vraiment digne de ton esprit !","Ton sot raisonnement et me choque et m'aigrit."
"Ton sot raisonnement et me choque et m'aigrit.","Tais-toi."
"» grippé, pris et conduit au haut de la potence, un petit saut sur rien au bout de la cadence, voilà, si le hasard ne détourne ses coups, dans demain au plus tard comme on fera de nous.","Il faut bien te résoudre à trouver pis encore, à me suivre partout, car demain dès l'aurore je veux être à séville et voir mes ennemis."
"Demain dès le matin.","Il faut donc en ma place avertir un trompette, car par prédiction que l'on m'a tantôt faite, il est dit que je dois trépasser aujourd'hui."
"Ainsi je ne crois pas pouvoir être celui qui doit dedans séville annoncer.","Comment, traître !"
"Comment, traître !","Est-ce ainsi qu'un valet obéit à son maître ?"
"Un mage encore m’a dit, si j’ai bien entendu, si je sortais demain, que je serais pendu.","Tu te plais donc bien fort céans ?"
"Comment !","S'il ne venait donc pas, nous aurions beau attendre !"
"Je ne m’en puis défendre, pour en avoir raison, il le faut contenter.","Je me contenterai seulement d'en tâter."
"Des mieux.","T'exposeras-tu pas pour moi ?"
"Merveilles.","Mais écoutons, un bruit a frappé mes oreilles."
"Quelqu’un heurte à la porte, obligez-moi de voir qui vient nous interrompre.","Allez, fat, le savoir."
"Quel plaisir aurez-vous quand je mourrai de peur ?","Quoi, poltron !"
"Quoi, poltron !","Au besoin vous manquez de courage."
"Je t’attends de pied ferme, et ce petit festin n’est pas, à dire vrai, comme je le souhaite.","Pour dire tout aussi, cette pauvre retraite où tu vois que je suis fort mal commodément fait que je ne puis pas te traiter autrement."
"Je viens voir, sur le point de ta punition, si tu ne feras point quelque réflexion, si ta langue et ton coeur ne seront point capables d’abjurer aujourd’hui des crimes détestables, qui sèment la frayeur partout en ces bas lieux, qui font cacher d’horreur les astres dans les cieux et qui ne veulent plus éclairer sur la terre, que tu ne sois vivant écrasé du tonnerre.","Songe, enfant misérable, à tout ce que tu fais, songe à l'énormité de tes moindres forfaits."
"M'entends-tu ?","Je t'entends, mais pour cela mon âme s'épouvante aussi peu des horreurs de la flamme, de tes tourments prédits, ni du fer, ni du feu ; en un mot, tout cela m'épouvante si peu, et je me sens si peu touché de ta menace, que je le serais plus du moindre vent qui passe."
"Le tien est prêt, perfide, et mon âme affligée se verra dans ce jour et contente et vengée.","Vengée ou non, mon coeur, après ce qu'il t'a dit, ne peut jamais souffrir ni remords ni dédit."
"Vengée ou non, mon coeur, après ce qu'il t'a dit, ne peut jamais souffrir ni remords ni dédit.","J'ai contenté mes sens, et pour ne te rien taire, je le ferais encore s'il était à refaire."
"J'ai contenté mes sens, et pour ne te rien taire, je le ferais encore s'il était à refaire.","Mais supprimons ici toute animosité, je vais prendre ce verre et boire à ta santé."
"Moi, je ne boirai plus, ou le diable m’emporte.","Dis donc à notre esprit qu'il me fasse raison."
"Ah !","Vous avez dessein de me faire enrager ?"
"Approche donc et me tiens compagnie.","À moi n'appartient pas tant tant de braverie."
"Mon luth n’est pas d’accord.","Dépêchez-vous, faquin, il faut bien régaler l'ombre de quelque chose."
"Dépêchez-vous, faquin, il faut bien régaler l'ombre de quelque chose.","Dites-moi, chanterai-je en vers ou bien en prose ?"
"Dites-moi, chanterai-je en vers ou bien en prose ?","Dis ces vers que tu fis quand je me dérobai."
"La chanson est gentille !","Chante un peu le combat gagné sur amarille."
"Quoi !","N'es-tu venu pour autre chose ici ?"
"Vous dites vrai.","Plus perfide et plus traître que tous les scélérats."
"Quoi !","Sommes nous ensemble pour t'ouïr raisonner ?"
"Monsieur, je tremble, je ne raisonne pas.","Toi qui fais le devin, encore que je sois fort proche de ma fin, apprends que j'ai toujours, quelque mal qui m'accable, une âme inébranlable et de crainte incapable ; et quand je toucherais à mon dernier instant, je te crains aussi peu mort que j'ai fait vivant."
"J'irai sans faute.","Espère qu'un mort, quoique offensé, te fera bonne chère."
"Espère qu'un mort, quoique offensé, te fera bonne chère.","Je t'ai tenu parole en me trouvant ici, me tiendras tu la tienne ?"
"Mais où vas-tu m'attendre ?","Au plus tard dans une heure, sur mon propre tombeau."
"Je m’y rends, ou je meure.","Je veux, puisque le sort enfin me l'a permis, mettre la peur au sein de tous mes ennemis ; et ce festin à quoi ma parole m'engage, ne fait que d'un moment retarder mon voyage."
"Monsieur, n’allons point, nous n’en reviendrons pas.","S'il y fallait cent fois souffrir mille trépas, j'irai, mais de façon à lui faire connaître que ni les dieux ni lui."
"Les violons, sonnez nous la gaillarde.","Mais qui vient redoubler nos appréhensions ?"
"Sommes-nous en état d'ouïr des violons ?","De grâce, donnez-nous un peu de patience, nous allons bien tantôt danser une autre danse."
"Je veux trépigner les cinq pas.","Qui de nous interrompre à présent vous oblige ?"
"Qui de nous interrompre à présent vous oblige ?","Flûtez, car je le veux."
"Flûtez, car je le veux.","Ne flûtez pas, vous dis je."
"Ne flûtez pas.","Je vous romprai le cou ; flûtez, ou par ma foi, vous n'aurez pas un sou."
"Je vous romprai le cou ; flûtez, ou par ma foi, vous n'aurez pas un sou.","Ne flûtez pas."
"Ne flûtez pas.","Flûtez !"
"Flûtez !","Au diable soit la bête !"
"Au diable soit la bête !","Mais quelqu'un viendrait-il ici troubler la fête ?"
"Hélas !","Je croyais bien m'égaudir aujourd'hui, et me voilà comblé de malheur et d'ennui."
"Eh bien !","Vous le voyez, voilà ma prophétie, elle n'est de tout point que trop bien réussie."
"Vous pouvez bien chercher quelque trou pour vous mettre ; le prévôt, les archers et dix mille sergents, le gouverneur, sa garde, et cent mille paysans, dans un petit moment s’en vont tous ici fondre ; et comme en ce cas-là c’est à vous à répondre et que je sais fort bien que vous les tuerez tous, sans le secours d’autrui, je prends congé de vous.","Il faut pousser l'affaire jusqu'au bout, et voir ce que le sort peut faire."
"Vous n’avez là que faire de valet.","Insolent, je vous ferai bien taire."
"Insolent, je vous ferai bien taire.","Les diables seront là payés pour vous servir."
"Les diables seront là payés pour vous servir.","Je m'en vais vous sonder les côtes à ravir, si vous contestez plus."
"Je m'en vais vous sonder les côtes à ravir, si vous contestez plus.","Voilà ma prophétie ; je pensais me moquer, mais elle est réussie."
"Moi, je n'en sais rien.","Frappe."
"Et si l’esprit m’attrape.","Frappe."
"L'esprit ne me demande pas.","Frappe, c'est trop parler."
"Ah !","Misérable, hélas !"
"Misérable, hélas !","Tu t'en vas, malheureux, en ce péril extrême, en dépit de la mort, chercher la mort toi-même."
"Tu t'en vas, malheureux, en ce péril extrême, en dépit de la mort, chercher la mort toi-même.","Il ne faut point heurter, je t'ai bien entendu."
"Je suis mort.","Tu vois que je me suis rendu à l'assignation, et tenu ma parole."
"Mais apprends, malheureux, qu’aujourd’hui les supplices mettront fin à ta vie ainsi qu’à tous tes vices ; le terme en est fort proche, et le ciel, qui te voit, en marque le moment avec le bout du doigt.","Est-ce là le festin que tu me voulais faire ?"
"Est-ce là le festin que tu me voulais faire ?","Est-ce de la façon que tu me voulais plaire ?"
"Est-ce de la façon que tu me voulais plaire ?","Et n'as-tu souhaité de me voir en ces lieux que pour m'entretenir du pouvoir de tes dieux ?"
"Nous n'en avons point d'autres.","Je sais très bien qu'ils sont fort différents des vôtres, mais je te donne ici ce qu'on sert chez les morts."
"Meurs, si tu veux ; pour moi, je ne veux pas mourir.","Et qui crois-tu, méchant, qui te pût secourir ?"
"Miséricorde !","Au ciel crois tu tant d'injustice, qu'il voulût d'un moment différer ton supplice ?"
"Auras-tu bientôt fait ?","Te veux-tu dépêcher ?"
"Certes !","Je suis bien las de t'entendre prêcher ; trop ennuyeux esprit, aussi bien qu'hypocrite, à quoi bon entasser redite sur redite ?"
"C’en est trop, exécrable, et le ciel irrité va prescrire le terme à ton impiété, et ton âme exposée aux tourments légitimes s’en va dans les enfers expier tous tes crimes, et ton corps malheureux aura pour ses bourreaux et les loups dévorants, les chiens et les corbeaux.","Trébuche, malheureux, dans la nuit éternelle."
"Je suis mort.","Enfilons la venelle, macette, dépêchons."
